DateTime,Fat (kcal),Carbs (kcal),Protein (kcal)
01/07/2025,451,829,264
02/07/2025,547,808,293
03/07/2025,536,759,287
04/07/2025,681,774,297
05/07/2025,566,834,283
06/07/2025,591,748,269
07/07/2025,741,762,313
08/07/2025,733,812,285
09/07/2025,589,892,287
10/07/2025,635,771,270
11/07/2025,613,833,277
12/07/2025,691,916,278
13/07/2025,647,857,272
14/07/2025,575,936,293
15/07/2025,617,850,314
16/07/2025,616,898,303
17/07/2025,577,805,285
18/07/2025,501,735,269
19/07/2025,640,894,262
20/07/2025,573,763,311
21/07/2025,612,879,251
22/07/2025,774,760,371
23/07/2025,620,929,292
24/07/2025,587,884,358
25/07/2025,651,744,258
26/07/2025,634,775,337
27/07/2025,610,793,246
28/07/2025,562,785,263
29/07/2025,704,722,295
30/07/2025,710,714,281
31/07/2025,695,799,341
