DateTime,Fat (kcal),Carbs (kcal),Protein (kcal)
23/06/2025,548.82,575.62,177.87
25/06/2025,343.07,708.05,214.90
26/06/2025,267.60,557.69,182.36
27/06/2025,517.73,727.52,310.06
28/06/2025,493.90,702.66,284.49
29/06/2025,507.69,727.44,291.80
30/06/2025,500.17,778.16,273.85
01/07/2025,450.60,828.91,264.18
02/07/2025,546.78,808.16,292.83
03/07/2025,535.75,759.23,287.47
04/07/2025,680.75,773.57,296.79
05/07/2025,565.72,833.80,283.27
06/07/2025,590.86,747.99,268.90
07/07/2025,741.18,762.20,312.51
08/07/2025,733.14,812.32,284.59
09/07/2025,588.64,892.17,287.27
10/07/2025,635.14,770.77,269.65
11/07/2025,612.71,832.70,276.63
12/07/2025,691.38,916.32,277.95
13/07/2025,647.25,856.64,271.52
14/07/2025,574.91,936.21,293.14
15/07/2025,617.24,850.15,314.20
16/07/2025,615.76,897.95,302.51
17/07/2025,576.73,804.58,285.44
18/07/2025,500.94,734.57,269.04
19/07/2025,640.27,894.10,262.35
20/07/2025,572.69,762.55,311.22
21/07/2025,611.53,878.67,250.68
22/07/2025,773.61,759.63,370.75
23/07/2025,619.51,928.68,292.37
24/07/2025,586.73,884.46,358.28
25/07/2025,650.52,744.07,258.16
26/07/2025,633.84,774.50,336.62
27/07/2025,610.23,792.96,246.31
28/07/2025,561.51,785.35,263.00
29/07/2025,704.13,722.40,295.22
30/07/2025,709.78,713.66,281.04
31/07/2025,694.60,799.40,341.29
01/08/2025,634.32,852.61,285.99
02/08/2025,599.50,779.30,291.47
03/08/2025,816.15,871.30,313.37
04/08/2025,587.99,836.22,297.95
05/08/2025,734.96,863.10,312.20
06/08/2025,577.81,929.66,277.18
07/08/2025,712.59,803.84,324.01
08/08/2025,537.05,871.66,268.84
09/08/2025,627.42,808.18,314.75
10/08/2025,532.85,834.82,276.86
11/08/2025,569.34,932.09,312.59
12/08/2025,549.15,781.09,324.49
13/08/2025,676.27,829.33,291.31
14/08/2025,579.29,811.64,285.87
15/08/2025,654.42,926.53,370.74
16/08/2025,561.82,849.29,273.69
17/08/2025,515.03,751.64,250.84
18/08/2025,657.90,876.74,367.38
19/08/2025,676.71,826.75,317.48
20/08/2025,529.71,889.76,344.10
21/08/2025,698.54,765.74,260.49
22/08/2025,587.44,915.38,315.26
23/08/2025,631.61,661.09,358.57
24/08/2025,603.28,793.10,358.59
25/08/2025,568.30,764.63,290.94
26/08/2025,660.75,896.72,319.98
27/08/2025,558.44,708.06,281.60
28/08/2025,528.21,871.28,363.08
29/08/2025,598.74,717.57,298.40
30/08/2025,658.13,788.13,310.18
31/08/2025,526.77,817.52,354.49
01/09/2025,590.90,766.26,281.98
02/09/2025,507.37,747.34,283.86
03/09/2025,580.76,789.91,358.65
04/09/2025,586.80,815.50,254.58
05/09/2025,636.32,801.97,258.83
06/09/2025,537.78,815.98,359.74
07/09/2025,689.37,780.56,297.30
08/09/2025,699.30,849.76,286.99
09/09/2025,584.71,914.38,293.31
10/09/2025,742.30,828.87,398.37
11/09/2025,677.59,882.93,313.51
12/09/2025,593.24,807.71,399.78
13/09/2025,680.31,869.50,309.88
14/09/2025,569.20,851.92,296.40
15/09/2025,706.38,775.29,412.77
16/09/2025,696.82,771.76,324.85
17/09/2025,651.02,871.78,383.49
18/09/2025,698.74,741.28,319.10
19/09/2025,620.57,873.33,303.32
