Ngày,Tổng kcal,Béo (g),Carb (g),Đạm (g),Béo (%),Carb (%),Đạm (%),Ghi chú
01/08/2025,1773,70.5,213.2,71.5,35.8,48.1,16.1,
02/08/2025,1670,66.6,194.8,72.9,35.9,46.7,17.5,
03/08/2025,2001,90.7,217.8,78.3,40.8,43.5,15.7,"Calo cao, Béo cao"
04/08/2025,1722,65.3,209.1,74.5,34.1,48.6,17.3,
05/08/2025,1910,81.7,215.8,78.0,38.5,45.2,16.3,"Calo cao, Béo cao"
06/08/2025,1785,64.2,232.4,69.3,32.4,52.1,15.5,Carb cao
07/08/2025,1840,79.2,201.0,81.0,38.7,43.7,17.6,Béo cao
08/08/2025,1678,59.7,217.9,67.2,32.0,52.0,16.0,
09/08/2025,1750,69.7,202.0,78.7,35.8,46.2,18.0,
10/08/2025,1645,59.2,208.7,69.2,32.4,50.8,16.8,
11/08/2025,1814,63.3,233.0,78.1,31.4,51.4,17.2,Carb cao
12/08/2025,1655,61.0,195.3,81.1,33.2,47.2,19.6,
13/08/2025,1797,75.1,207.3,72.8,37.6,46.2,16.2,Béo cao
14/08/2025,1677,64.4,202.9,71.5,34.5,48.4,17.0,
15/08/2025,1952,72.7,231.6,92.7,33.5,47.5,19.0,"Calo cao, Carb cao, Đạm cao"
16/08/2025,1685,62.4,212.3,68.4,33.3,50.4,16.2,
17/08/2025,1518,57.2,187.9,62.7,33.9,49.5,16.5,"Calo thấp, Đạm thấp"
18/08/2025,1902,73.1,219.2,91.8,34.6,46.1,19.3,"Calo cao, Carb cao, Đạm cao"
19/08/2025,1821,75.2,206.7,79.4,37.2,45.4,17.4,Béo cao
20/08/2025,1764,58.9,222.4,86.0,30.0,50.5,19.5,Carb cao
21/08/2025,1725,77.6,191.4,65.1,40.5,44.4,15.1,Béo cao
22/08/2025,1818,65.3,228.8,78.8,32.3,50.3,17.3,Carb cao
23/08/2025,1651,70.2,165.3,89.6,38.2,40.0,21.7,Đạm cao
24/08/2025,1755,67.0,198.3,89.6,34.4,45.2,20.4,Đạm cao
25/08/2025,1624,63.1,191.2,72.7,35.0,47.1,17.9,
26/08/2025,1877,73.4,224.2,80.0,35.2,47.8,17.0,"Calo cao, Carb cao"
27/08/2025,1548,62.0,177.0,70.4,36.1,45.7,18.2,
28/08/2025,1763,58.7,217.8,90.8,30.0,49.4,20.6,Đạm cao
29/08/2025,1615,66.5,179.4,74.6,37.1,44.4,18.5,
30/08/2025,1756,73.1,197.0,77.5,37.5,44.9,17.7,
31/08/2025,1699,58.5,204.4,88.6,31.0,48.1,20.9,Đạm cao
